club,points,wins,draws,losses,goals_for,goals_against,games_played,avg_plyr_salary,league,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating,prop_shots_on,goals_pg
Monaco,80,24,8,6,85,45,38,2690,Ligue 1,85,70,4,50.9,81.2,17.1,18.9,13.1,13.4,12.9,4.8,8.1,9.2,6.94,0.37209302325581395,2.236842105263158
Lyon,78,23,9,6,87,43,38,1760,Ligue 1,87,71,2,54.8,85,15.5,16.9,11.9,12.5,15.3,6.1,9.2,14.8,7.04,0.3986928104575163,2.289473684210526
Marseille,77,22,11,5,80,47,38,2300,Ligue 1,80,81,3,55.5,84.2,16.1,19.4,11.6,13.1,16.4,6.2,10.2,14,6.99,0.37804878048780494,2.1052631578947367
Rennes,58,16,10,12,50,44,38,680,Ligue 1,50,60,5,50,79.4,18.5,17.3,10.9,12.6,12.3,3.8,8.5,9.4,6.75,0.30894308943089427,1.3157894736842106
Bordeaux,55,16,7,15,53,48,38,840,Ligue 1,53,73,2,50.4,80.9,15.9,18.4,12.2,14,12.4,4,8.4,12.1,6.77,0.3225806451612903,1.394736842105263
Saint-Etienne,55,15,10,13,47,50,38,740,Ligue 1,47,71,8,50.8,80.8,17.3,17.8,10.6,13.4,11.1,4.1,7,9.8,6.74,0.36936936936936937,1.236842105263158
Nice,54,15,9,14,53,52,38,1190,Ligue 1,53,80,4,56.3,87.5,10.8,15.5,11.4,11.7,12.8,4.8,8,13.3,6.77,0.37499999999999994,1.394736842105263
Nantes,52,14,10,14,36,41,38,600,Ligue 1,36,60,5,45.5,75.1,18.3,19.9,11.2,12.9,13.2,3.6,9.6,9.1,6.72,0.27272727272727276,0.9473684210526315
Montpellier,51,11,18,9,36,33,38,600,Ligue 1,36,72,1,48,79.4,17.4,17.9,13.2,11.8,12.9,4.2,8.7,10,6.78,0.32558139534883723,0.9473684210526315
Dijon,48,13,9,16,55,73,38,470,Ligue 1,55,69,5,49,78.1,16.4,18,14.3,12.9,11.6,4.2,7.4,11.6,6.71,0.3620689655172414,1.4473684210526316
Guingamp,47,12,11,15,48,59,38,460,Ligue 1,48,63,2,49.8,79.6,17.1,16.8,12.5,13.1,11.8,4.4,7.4,10.4,6.72,0.3728813559322034,1.263157894736842
Amiens,45,12,9,17,37,43,38,530,Ligue 1,37,70,5,45.2,73.6,17.5,17.3,13.7,13.3,9.5,2.7,6.8,10.4,6.71,0.28421052631578947,0.9736842105263158
Angers,41,9,14,15,42,52,38,450,Ligue 1,42,68,3,45.9,77.1,16.3,17.4,10.8,12.9,12.2,4.1,8.1,10,6.62,0.3360655737704918,1.105263157894737
