league,R,club,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating
Ligue 1,15,Lille,41,59,6,52.9,83,13.3,17.9,12.9,12.7,11.3,3.7,7.6,15.1,6.66
Ligue 1,16,Strasbourg,44,71,4,49.2,77.7,18.9,19.7,13.5,13.8,11.9,3.4,8.5,10.1,6.65
Ligue 1,17,Caen,27,68,4,46.2,75,22.4,19.2,12.6,13.8,12.1,3.4,8.7,8.1,6.65
Ligue 1,18,Angers,42,68,3,45.9,77.1,16.3,17.4,10.8,12.9,12.2,4.1,8.1,10,6.62
Ligue 1,19,Troyes,32,74,7,44.2,75.5,18.1,17.2,11.5,13,9.5,3.3,6.2,8.2,6.59
Ligue 1,20,Metz,34,76,7,46.2,76.8,16.8,18.6,13.4,14,11.3,4.2,7.1,9.4,6.59
MLS,1,Sporting Kansas City,72,56,3,54.5,83,16.4,16.6,12.9,11.3,12,6,6,8.9,6.95
MLS,2,New York Red Bulls,66,54,2,49.2,70.2,20.4,19.7,15.1,11.5,10.9,5.2,5.7,7.4,6.89
MLS,3,Atlanta United,77,67,3,52.1,81.9,11.4,19,12.4,10.7,10.9,5.8,5.1,8.7,6.89
MLS,4,Los Angeles FC,70,40,4,52.6,83.6,12.8,17.7,13.1,10.6,12.4,6.1,6.3,9.8,6.88
MLS,5,New York City FC,63,69,4,56.6,82.2,15.2,19.2,12.9,13.9,12.1,5,7.1,8.5,6.84
MLS,6,DC United,62,42,2,48.4,79.7,16.4,16.6,11.9,11.1,16.1,4.4,11.7,7.8,6.82
MLS,7,Seattle Sounders FC,56,56,5,50.6,81.4,16,18.8,14.1,10.8,13.3,4,9.3,6.9,6.8
MLS,8,Portland Timbers,63,65,3,47.2,78.9,15.5,15.9,12.9,11,13.6,4.9,8.7,8.1,6.8
MLS,9,LA Galaxy,66,68,3,48.8,79.6,18.5,16.9,13.4,12.4,15.4,4.7,10.7,7.3,6.79
MLS,10,FC Dallas,53,52,4,49.6,80.8,14.4,18.5,13.2,10.3,12.7,5.2,7.5,9.7,6.79
MLS,11,Montreal Impact,47,48,3,48.5,81.4,11.8,17.4,15.1,11,12.9,4.1,8.8,10.5,6.78
MLS,12,Real Salt Lake,61,64,0,53.6,82.1,13.5,16,12.2,11.4,13.3,5.7,7.6,8.5,6.76
MLS,13,Philadelphia Union,50,57,4,50,80.6,16.7,16.3,13.3,11.9,12.5,4.8,7.7,9.9,6.75
MLS,14,New England Rev.,49,79,4,48.4,74,17.6,18.2,12.9,15.1,12.8,5.3,7.5,8.5,6.71
MLS,15,Toronto FC,59,53,4,52.8,83.1,12.4,16.5,11.6,8.8,13.6,5.4,8.2,9.2,6.71
MLS,16,Vancouver Whitecaps,54,57,8,45.9,78.6,16.9,18.1,13.2,12.1,15.2,4.4,10.8,10.2,6.71
MLS,17,Houston Dynamo,58,65,7,48.2,80.6,12.4,16.4,11.8,12.3,12.1,5.4,6.7,9,6.7
MLS,18,Columbus Crew,46,53,3,52.2,83.1,13.7,15.7,12.5,10.8,10.8,4.5,6.3,7.2,6.69
MLS,19,San Jose Earthquakes,49,45,3,48.4,80.3,15.4,16.9,15.2,11.1,15.2,4.4,10.8,9.3,6.67
MLS,20,Minnesota United,49,69,7,46.6,78.3,12.8,20.9,14.4,12.8,16.2,4.1,12.1,8.5,6.64
MLS,21,Chicago Fire,48,61,3,48.1,80.5,13.4,17.7,14.1,12.1,14.9,3.8,11.1,8.2,6.63
MLS,22,Orlando City,43,68,5,49.9,82,12.1,19.2,13.1,10.6,14.2,4.6,9.6,9.6,6.61
MLS,23,Colorado Rapids,36,90,6,46.3,79.8,14.9,15.2,11.7,13.7,15.4,3.6,11.8,7.3,6.54
